PUNJAB,GUJRANWALA DIVISION,544590,570546,151,767868,348401,332368,95,439876
PUNJAB,LAHORE DIVISION,341604,321991,20,523694,84636,78042,30,60873
PUNJAB,LAHORE DIVISION,438789,406176,39,575903,252101,236425,53,326889
PUNJAB,LAHORE DIVISION,156736,144879,14,193356,30135,28749,10,39555
PUNJAB,LAHORE DIVISION,391493,362322,38,519162,93123,87460,16,115074
PUNJAB,LAHORE DIVISION,0,0,0,182733,857133,775333,236,735997
PUNJAB,LAHORE DIVISION,0,0,0,143532,1905921,1746900,795,2075867
PUNJAB,LAHORE DIVISION,0,0,0,273036,1421291,1281762,516,1136192
PUNJAB,LAHORE DIVISION,0,0,0,330620,448403,400031,107,27314
PUNJAB,LAHORE DIVISION,0,0,0,201105,1181239,1099956,362,1233718
PUNJAB,LAHORE DIVISION,396393,377408,70,615443,55703,54411,21,68520
PUNJAB,LAHORE DIVISION,83320,82774,12,137652,31046,30438,14,50368
PUNJAB,LAHORE DIVISION,86217,83649,19,133619,37595,35878,18,39263
PUNJAB,LAHORE DIVISION,265244,244918,47,277111,147335,136897,48,118958
PUNJAB,LAHORE DIVISION,219623,207089,25,309073,108703,104137,12,143296
PUNJAB,LAHORE DIVISION,111298,107427,26,180657,26908,27136,12,47058
PUNJAB,LAHORE DIVISION,79914,75654,6,122561,21163,20716,6,28186
PUNJAB,LAHORE DIVISION,493745,453373,102,674097,312450,295895,95,375167
PUNJAB,MULTAN DIVISION,151053,148708,18,224703,21864,21779,3,24871
PUNJAB,MULTAN DIVISION,413527,395406,69,565066,75728,73850,16,98812
PUNJAB,MULTAN DIVISION,297829,287262,69,455413,138280,132777,40,151599
PUNJAB,MULTAN DIVISION,322910,316900,50,459047,61477,60590,28,88979
PUNJAB,MULTAN DIVISION,228308,225323,32,320689,20923,20621,10,29513
PUNJAB,MULTAN DIVISION,201333,193317,28,286458,54236,52036,13,75074
PUNJAB,MULTAN DIVISION,297346,288363,42,394565,59248,58496,18,65501
PUNJAB,MULTAN DIVISION,247132,240350,36,332497,34035,33409,9,32219
PUNJAB,MULTAN DIVISION,224005,208071,38,303233,937027,889763,211,1078245
PUNJAB,MULTAN DIVISION,636150,602391,167,803159,47914,36416,38,146875
PUNJAB,MULTAN DIVISION,268108,260741,57,363214,40824,39267,7,57409
PUNJAB,MULTAN DIVISION,397316,390239,74,578486,116541,115451,38,152097
PUNJAB,MULTAN DIVISION,414628,410463,67,615886,64421,64002,29,88992
PUNJAB,MULTAN DIVISION,397067,386033,65,560612,73823,71801,23,94343
PUNJAB,RAWALPINDI DIVISION,111968,110735,7,143989,112426,100041,26,117840
PUNJAB,RAWALPINDI DIVISION,129406,130510,17,188270,33250,33241,9,25986
PUNJAB,RAWALPINDI DIVISION,78008,75882,1,97880,32039,31174,5,37976
PUNJAB,RAWALPINDI DIVISION,140446,144406,29,196785,27569,27736,3,42156
PUNJAB,RAWALPINDI DIVISION,117735,129570,14,211065,23084,25104,6,17284
PUNJAB,RAWALPINDI DIVISION,110514,116212,10,165854,22205,22986,4,29850
PUNJAB,RAWALPINDI DIVISION,246589,271680,44,394992,68508,69677,29,80508
PUNJAB,RAWALPINDI DIVISION,58453,60913,2,91838,11431,11137,6,13418
PUNJAB,RAWALPINDI DIVISION,61503,64587,6,122548,22320,20818,4,0
PUNJAB,RAWALPINDI DIVISION,52857,57314,4,95626,7447,8146,2,0
PUNJAB,RAWALPINDI DIVISION,162481,175410,12,247029,31589,32484,10,37766
PUNJAB,RAWALPINDI DIVISION,79799,85412,11,130735,39099,34128,16,52638
PUNJAB,RAWALPINDI DIVISION,123856,130876,29,186177,97586,92853,32,147392
PUNJAB,RAWALPINDI DIVISION,131941,140479,23,217023,32470,31925,3,46592
PUNJAB,RAWALPINDI DIVISION,83879,91783,18,143692,12776,13406,3,12708
PUNJAB,RAWALPINDI DIVISION,271415,294558,45,426860,55583,56425,36,67150
PUNJAB,RAWALPINDI DIVISION,77653,82475,8,134512,30350,30258,2,19207
PUNJAB,RAWALPINDI DIVISION,77771,85038,13,158120,25965,28266,8,0
PUNJAB,RAWALPINDI DIVISION,48976,47907,11,82711,11324,11073,4,0
PUNJAB,RAWALPINDI DIVISION,37829,38140,5,155224,81688,75336,19,21375
PUNJAB,RAWALPINDI DIVISION,590102,568568,147,517844,1081915,1015201,708,1409768
PUNJAB,RAWALPINDI DIVISION,89204,86787,20,100367,256405,245057,85,270773
PUNJAB,SAHIWAL DIVISION,531297,501909,54,821089,174814,167651,60,209747
PUNJAB,SAHIWAL DIVISION,389598,370807,35,590040,235330,210456,93,272324
PUNJAB,SAHIWAL DIVISION,206263,198263,36,307455,27168,26985,7,32337
PUNJAB,SAHIWAL DIVISION,376782,365885,56,528922,56800,55455,51,74174
PUNJAB,SAHIWAL DIVISION,404804,387632,77,574551,89724,86927,35,109033
PUNJAB,SAHIWAL DIVISION,467889,461454,104,714341,47578,47142,13,72721
PUNJAB,SAHIWAL DIVISION,547112,520686,82,826863,214067,206837,47,229269
PUNJAB,SARGODHA DIVISION,291631,279474,27,355592,58034,54760,13,68896
PUNJAB,SARGODHA DIVISION,143823,136163,20,178775,41346,39060,15,54635
PUNJAB,SARGODHA DIVISION,150395,143876,39,187751,26584,25694,3,35925
PUNJAB,SARGODHA DIVISION,124063,118680,7,160664,7180,6962,3,9218
PUNJAB,SARGODHA DIVISION,195124,197004,15,287146,149700,148273,41,192963
PUNJAB,SARGODHA DIVISION,111905,111123,23,159592,9995,9780,5,15091
PUNJAB,SARGODHA DIVISION,49598,53999,6,78970,6581,7171,1,8952
